attribute_line_id;product_tmpl_id;attribute_id;value
10498;18425;56;3184
10499;18425;9;3814
10499;18425;9;3815
10499;18425;9;3816
10499;18425;9;4356
10499;18425;9;4355
10500;18426;56;3325
10501;18426;9;4260
10501;18426;9;3815
10502;18427;9;4259
10502;18427;9;3816
10502;18427;9;4260
10503;18428;9;3814
10504;18428;66;755
10505;18429;9;3813
10505;18429;9;4264
10505;18429;9;4275
10505;18429;9;4262
10505;18429;9;4259
10505;18429;9;4357
10505;18429;9;3816
10505;18429;9;4261
10505;18429;9;3814
10505;18429;9;4337
10506;18429;51;3716
10507;18430;9;3813
10507;18430;9;4263
10507;18430;9;3814
10507;18430;9;3815
10507;18430;9;4264
10507;18430;9;4262
10507;18430;9;4356
10507;18430;9;4337
10508;18430;51;716
10509;18431;51;719
10510;18431;9;3813
10510;18431;9;4264
10510;18431;9;3815
10510;18431;9;4275
10510;18431;9;4263
10510;18431;9;4259
10510;18431;9;4357
10510;18431;9;3816
10510;18431;9;4260
10510;18431;9;4261
10510;18431;9;3814
10511;18432;9;3814
10511;18432;9;4337
10511;18432;9;4356
10511;18432;9;4262
10511;18432;9;4259
10511;18432;9;4263
10511;18432;9;3816
10511;18432;9;4260
10511;18432;9;3813
10511;18432;9;4264
10511;18432;9;4275
10511;18432;9;3815
10511;18432;9;4345
10511;18432;9;4357
10512;18432;51;799
10512;18432;51;4527
10512;18432;51;945
10513;18433;9;4259
10513;18433;9;4264
10514;18434;5;87
10514;18434;5;98
10514;18434;5;108
10515;18435;5;322
10515;18435;5;118
10516;18436;5;87
10516;18436;5;98
10516;18436;5;322
10517;18437;5;108
10517;18437;5;6077
10518;18438;119;6078
10519;18439;8;2569
10519;18439;8;2562
10520;18440;8;2367
10521;18441;8;2569
10521;18441;8;2562
10522;18442;8;2569
10522;18442;8;2562
10523;18443;8;2367
10523;18443;8;6079
10524;18444;8;112
10524;18444;8;97
10524;18444;8;6081
10524;18444;8;119
10524;18444;8;58
10524;18444;8;161
10524;18444;8;3997
10524;18444;8;76
10524;18444;8;147
10524;18444;8;2274
10524;18444;8;6080
10525;18445;109;3690
10525;18445;109;3691
10527;18447;3;6083
10528;18448;3;6083
10529;18449;3;6084
10529;18449;3;6085
10529;18449;3;6086
10530;18450;3;6087
10531;18451;3;156
10532;18452;119;6088
10533;18453;119;6089
10534;18454;119;6090
10535;18455;137;4058
10535;18455;137;4059
10535;18455;137;6091
10535;18455;137;6092
10536;18456;3;65
10537;18456;137;6093
10537;18456;137;6094
10537;18456;137;6095
10537;18456;137;6096
10538;18457;137;6095
10539;18458;137;6091
10539;18458;137;6092
10539;18458;137;4059
10539;18458;137;4058
10539;18458;137;4060
10540;18459;137;6093
10540;18459;137;9470
10540;18459;137;6096
10540;18459;137;6094
10540;18459;137;6095
10541;18460;137;6094
10541;18460;137;6095
10541;18460;137;6096
10542;18461;3;156
10543;18461;137;6093
10543;18461;137;6095
10544;18461;73;1038
10544;18461;73;1037
10545;18462;3;152
10546;18462;137;6096
10546;18462;137;6094
10547;18462;73;1040
10547;18462;73;6097
10548;18463;73;6099
10548;18463;73;1041
10548;18463;73;1037
10548;18463;73;1040
10548;18463;73;6936
10548;18463;73;6098
10549;18464;73;1040
10549;18464;73;6100
10550;18466;7;72
10550;18466;7;358
10550;18466;7;84
10550;18466;7;68
10550;18466;7;59
10550;18466;7;6101
10550;18466;7;6102
10550;18466;7;6103
10550;18466;7;6104
10550;18466;7;6105
10550;18466;7;6106
10550;18466;7;6107
10550;18466;7;6108
10550;18466;7;6109
10550;18466;7;6110
10550;18466;7;6111
10550;18466;7;6112
10550;18466;7;6113
10550;18466;7;6114
10550;18466;7;6115
10550;18466;7;6116
10550;18466;7;6117
10550;18466;7;6118
10550;18466;7;6119
10550;18466;7;6120
10550;18466;7;6121
10551;18467;7;32
10551;18467;7;6105
10551;18467;7;6106
10551;18467;7;357
10551;18467;7;72
10551;18467;7;6122
10551;18467;7;6123
10552;18468;2;172
10552;18468;2;155
10552;18468;2;158
10552;18468;2;4
10552;18468;2;166
10552;18468;2;164
