default_code;product_tmpl_id;id;volume;weight
1908403/4043;35408;78155;;
5466005;23970;52969;;
M0251422/AAA;25544;56683;;
PR/70898;33294;73486;;
1271773/PI;31695;70363;;
4291424/BN;11649;25581;;
PR/81283;9230;83845;;
8203234;29593;65633;;
8203214/RO;15365;34776;;
4061710/317;11662;25646;;
5466006;23971;52970;;
M0073693/JA;6183;11700;;
1091302/05;5843;10841;;
1833306/tg;5800;10721;;
8485229;39788;87136;;
4935290/300;33696;74364;;
4291721/243;11650;25583;;
4935450/04;22955;50441;;
47010059;34684;76337;;
1801845/21;11797;26327;;
4099408/60;11478;25317;;
PR/70666;15095;73254;;
4897536;36406;80266;;
M0814510;32496;71917;;
1707424;33259;73444;;
1801896/13;11787;26265;;
M0698008/32;3442;6486;;
7391154/20;36851;81174;;
1801896/23;11787;26266;;
7391154/22;36851;81175;;
M0320548;38606;84698;;
18018012/501;11743;26041;;
64339113;42036;91799;;
6431733/FI;36007;82011;;
1080765;33072;73054;;
6431743/RO;38281;84051;;
6431743/NBT;38281;91800;;
8731104/35;10686;93356;;
6431733/NR;36007;91801;;
8731120/30;42761;93359;;
M0618013/48-48;8418;16793;;
1611219/14;23905;52754;;
PR/57662;8141;60248;;
1093813;5905;10941;;
PR/57661;8141;60247;;
1801877/11;11829;26440;;
2277609;2663;4570;;
1801838/15;11837;26468;;
M0041002;8103;16058;;
42649011;41306;90243;;
2138510/44;3654;7113;;
M0655282;35752;79090;;
7376024;36415;80276;;
1299957;30557;67653;;
1161502/25;2944;5241;;
M0745249/3006;34609;76224;;
8067404;39618;86786;;
4935450/06;22955;50443;;
PR/70302;7891;72890;;
PR/84306;13171;86854;;
M0040537;8054;15994;;
2180172;32754;82269;;
PR/70667;15095;73255;;
M0857627;11717;25850;;
1613816;23615;51758;;
1801874/54;11843;26491;;
M02933456/SP;22078;48904;;
1948904/46;31217;69264;;
4418409/3940;6562;12611;;
4935450/08;22955;50445;;
1705805;30511;67572;;
2382802;28242;62367;;
1801870/04;11818;26408;;
5518912/50;30433;67419;;
1801850/3;11836;26463;;
1707423;33258;73443;;
1801835/12;11840;26483;;
M0293825;35156;77456;;
1890801;32625;72182;;
7391051;36917;81348;;
2401378/080;34160;84030;;
1893606;32639;72202;;
M02933456/FR;22078;48905;;
73613014/06;41316;90255;;
6431733/NP;36007;91802;;
M0021701/003;34944;76875;;
PR/PLASTI;37814;83145;;
7361915/N12;3761;7852;;
M0320547;38605;84697;;
4469433/61;25419;56121;;
13859147;33745;74466;;
6156848;39575;86636;;
PR/66237;8418;68841;;
4603625;37354;82235;;
M0329111/XL;8723;18391;;
8761829/AB;16972;68798;;
1001693/fu;30728;67988;;
1091302/07;5843;10843;;
8731120/35;42761;93358;;
1083667;26110;57449;;
22777011/EQ;2665;70961;;
4265332;31372;69609;;
2037802;31445;69788;;
4935450/09;22955;50446;;
M0167805;32475;71869;;
6431747/FI;40072;91803;;
1908403/4346;35408;78154;;
7227801;37067;81673;;
7391305/2;16896;36629;;
4935274;29797;65994;;
1001927;13890;30000;;
7857813;35910;79333;;
1133109;9572;20780;;
4163106;32837;72594;;
4162127;11693;25784;;
73613014/04;41316;90256;;
18018105/07;11847;26500;;
1723314/298;13177;29182;;
7361915/N18;3761;7855;;
1723316/635;13179;29190;;
7361915/N20;3761;7851;;
7391304/6;16894;36623;;
M06451117/71;9440;20518;;
4935121;42767;93370;;
6681180;13292;29341;;
7361915/N14;3761;7854;;
PR/LI2;36631;80781;;
1706208;35146;77446;;
7411755/05;26291;57958;;
4061711/315;11662;25649;;
1912102;34584;76157;;
M0090693;32719;72333;;
47010022;30730;67991;;
PR/83448;17039;86000;;
4703012;16126;35543;;
7857814;35911;79334;;
M0073622;35312;77947;;
7412839;16290;35707;;
6688259/42;39493;86511;;
M0810523;34990;77014;;
M0813803;16488;35905;;
13859455;30734;67998;;
4469418/60;25417;56098;;
7146233;32302;71542;;
M0167860;37312;82158;;
1181701/WATERMELON;8533;17333;;
1181780/WA;36220;79867;;
8007680;34633;76251;;
7391508/10;12697;27594;;
M0171793/BAO;41317;90258;;
8007672;34627;76245;;
M0101860/303;9688;21394;;
1611407/10;23852;52624;;
